semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
color,color,prefix,8,50,50,0,50,0.84,0.06,4,1,0.78,0.0,0.14,39,0.9743589743589743,,0,"{""correct"": 42, ""incorrect"": 1, ""missing"": 7}"
color,color,prefix,9,50,50,0,50,0.84,0.06,4,1,0.78,0.0,0.14,39,0.9743589743589743,,0,"{""correct"": 42, ""incorrect"": 1, ""missing"": 7}"
color,color,prefix,10,50,50,0,50,0.84,0.06,4,1,0.78,0.0,0.14,39,0.9743589743589743,,0,"{""correct"": 42, ""incorrect"": 1, ""missing"": 7}"
color,color,suffix,0,50,50,0,50,0.84,0.06,4,1,0.78,0.0,0.14,39,0.9743589743589743,,0,"{""correct"": 42, ""incorrect"": 1, ""missing"": 7}"
color,color,suffix,1,50,50,0,50,0.78,0.0,1,1,0.78,0.02,0.12,39,0.9743589743589743,,0,"{""ambiguous"": 1, ""correct"": 39, ""incorrect"": 4, ""missing"": 6}"
color,color,suffix,2,50,50,0,50,0.76,-0.02,2,3,0.78,0.0,0.14,39,0.9230769230769231,,0,"{""correct"": 38, ""incorrect"": 5, ""missing"": 7}"
color,color,suffix,3,50,50,0,50,0.84,0.06,3,0,0.78,0.0,0.12,39,1.0,,0,"{""correct"": 42, ""incorrect"": 2, ""missing"": 6}"
color,color,suffix,4,50,50,0,50,0.74,-0.04,0,2,0.78,0.0,0.14,39,0.9487179487179487,,0,"{""correct"": 37, ""incorrect"": 6, ""missing"": 7}"
color,color,suffix,5,50,50,0,50,0.76,-0.02,2,3,0.78,0.0,0.14,39,0.9230769230769231,,0,"{""correct"": 38, ""incorrect"": 5, ""missing"": 7}"
color,color,suffix,6,50,50,0,50,0.82,0.04,2,0,0.78,0.0,0.12,39,1.0,,0,"{""correct"": 41, ""incorrect"": 3, ""missing"": 6}"
color,color,suffix,7,50,50,0,50,0.8,0.02,2,1,0.78,0.0,0.12,39,0.9743589743589743,,0,"{""correct"": 40, ""incorrect"": 4, ""missing"": 6}"
color,color,suffix,8,50,49,1,49,0.7959183673469388,0.02040816326530612,1,0,0.7755102040816326,0.0,0.12244897959183673,38,1.0,,0,"{""correct"": 39, ""evaluation_error"": 1, ""incorrect"": 4, ""missing"": 6}"
color,color,suffix,9,50,50,0,50,0.78,0.0,0,0,0.78,0.0,0.12,39,1.0,,0,"{""correct"": 39, ""incorrect"": 5, ""missing"": 6}"
color,color,suffix,10,50,50,0,50,0.78,0.0,0,0,0.78,0.0,0.12,39,1.0,,0,"{""correct"": 39, ""incorrect"": 5, ""missing"": 6}"
count,all,prefix,0,50,50,0,50,0.18,0.0,0,0,0.18,0.0,0.0,9,1.0,2.68,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,prefix,1,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,all,prefix,2,50,50,0,50,0.22,0.04,5,3,0.18,0.0,0.0,9,0.6666666666666666,2.66,50,"{""correct"": 11, ""incorrect"": 39}"
count,all,prefix,3,50,50,0,50,0.16,-0.02,3,4,0.18,0.0,0.0,9,0.5555555555555556,2.66,50,"{""correct"": 8, ""incorrect"": 42}"
count,all,prefix,4,50,50,0,50,0.28,0.1,8,3,0.18,0.0,0.0,9,0.6666666666666666,2.38,50,"{""correct"": 14, ""incorrect"": 36}"
count,all,prefix,5,50,50,0,50,0.18,0.0,5,5,0.18,0.0,0.0,9,0.4444444444444444,2.62,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,prefix,6,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.54,50,"{""correct"": 10, ""incorrect"": 40}"
count,all,prefix,7,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.64,50,"{""correct"": 10, ""incorrect"": 40}"
